2018-11-06 15:28:36,556 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-11-06 15:38:35,446 [Worker-0: Creating project "com.revature"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Project1:com.revature:0.0.1-SNAPSHOT @ D:\Revature\project-1\com.revature\pom.xml.
2018-11-06 15:38:36,284 [Worker-0: Creating project "com.revature"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.revature/src/main/java
2018-11-06 15:38:36,285 [Worker-0: Creating project "com.revature"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.revature/src/main/resources
2018-11-06 15:38:36,287 [Worker-0: Creating project "com.revature"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.revature/src/test/java
2018-11-06 15:38:36,287 [Worker-0: Creating project "com.revature"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.revature/src/test/resources
2018-11-06 15:38:37,379 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-06 15:38:37,391 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-06 15:38:37,394 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-06 15:38:37,399 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-06 15:38:38,447 [Worker-9: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-06 15:38:38,453 [Worker-9: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-06 15:38:38,455 [Worker-9: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-06 15:38:38,461 [Worker-9: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-06 15:38:52,732 [Worker-13: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-11-06 15:39:36,997 [Worker-7: Creating project "com.revature"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Project1:com.revature:0.0.1-SNAPSHOT @ D:\Revature\project-1\com.revature\pom.xml.
2018-11-06 15:39:37,649 [Worker-7: Creating project "com.revature"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.revature/src/main/java
2018-11-06 15:39:37,649 [Worker-7: Creating project "com.revature"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.revature/src/main/resources
2018-11-06 15:39:37,650 [Worker-7: Creating project "com.revature"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.revature/src/test/java
2018-11-06 15:39:37,650 [Worker-7: Creating project "com.revature"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.revature/src/test/resources
2018-11-06 15:39:38,331 [Worker-6: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-06 15:39:38,337 [Worker-6: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-06 15:39:38,338 [Worker-6: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-06 15:39:38,344 [Worker-6: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-06 15:39:39,377 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-06 15:39:39,384 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-06 15:39:39,385 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-06 15:39:39,392 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-06 15:40:43,095 [Worker-15: Creating project "Project1"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1:0.0.1-SNAPSHOT @ D:\Revature\project-1\Project1\pom.xml.
