127.0.0.1 - - [14/Nov/2018:13:44:37 -0600] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [14/Nov/2018:13:46:29 -0600] "GET /Project1/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:00:06 -0600] "GET /Project1/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:00:16 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:00:18 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:00:18 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:28:40 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:28:41 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:28:42 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:33:46 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:34:32 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:34:45 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:44:36 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:44:37 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:44:37 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:44:41 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:48:28 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:48:31 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:48:36 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:48:39 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:48:42 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:49:24 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:52:40 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:52:55 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:52:59 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:53:01 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:53:16 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:53:18 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:54:57 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:55:34 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:14:58:40 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
